age_years,local_population,distance_to_city,distance_to_town,distance_to_primary,distance_to_secondary,distance_to_tertiary,lat_deg,lon_deg,water_source_clean,water_tech_clean,water_source_category,water_tech_category,clean_adm1,is_urban,is_non_functional,clean_adm2,report_year,wpdx_id
2.0,136.0,174222.69513888657,32112.276924301364,111257.45930347842,5228.166984966153,15345.491909302207,-17.07098,27.28467,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2013,5GJ9W7HM+JV3
0.0,172.0,189668.001084538,38228.720248321166,92296.62673060242,7816.915250735467,226.0799102271625,-17.09825,27.46436,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2012,5GJ9WF27+PP5
11.0,1844.0,198036.44624227568,45308.16947667551,85523.11490179916,17676.230829983582,6673.166225007648,-17.06092,27.55155,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2013,5GJ9WHQ2+JJM
15.0,1844.0,197866.0791430513,45183.10270643823,85601.90834999978,17781.30443498331,6842.416961584575,-17.05926,27.55159,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2013,5GJ9WHR2+7JW
2.0,56.0,106146.64366494428,32033.01671546613,14342.935859769415,121171.5082208946,19415.279506335057,-16.667489,23.795255,Borehole/Tubewell,Hand Pump - India Mark,Well,Hand Pump,Western,False,0,Senanga,2016,5GM58QMW+242
3.0,76.0,131721.2864998943,39104.21935122192,33463.80813842216,142340.2668860821,37764.4251332968,-16.40552778,23.80736111,Borehole/Tubewell,Hand Pump,Well,Hand Pump,Western,False,0,Senanga,2016,5GM5HRV4+QWQ
3.0,44.0,135441.08413057055,37034.00013307539,30157.578940442138,138308.8316068229,36210.9417248304,-16.385463,23.767416,Borehole/Tubewell,Hand Pump - India Mark,Well,Hand Pump,Western,False,0,Senanga,2017,5GM5JQ78+RXC
6.0,52.0,171803.57863192586,17454.499536327112,1559.8239574015586,108994.10016119796,877.497962824621,-16.26116667,23.31675,Borehole/Tubewell,Hand Pump,Well,Hand Pump,Western,False,0,Senanga,2018,5GM5P8Q8+GPJ
2.0,112.0,174429.04208022912,12720.500117413729,980.3786942546805,104042.84448780872,5199.307759992596,-16.20955556,23.34913889,Borehole/Tubewell,Hand Pump,Well,Hand Pump,Western,False,0,Senanga,2014,5GM5Q8RX+5MC
5.0,88.0,174391.09715885477,12744.194953211952,1060.6959736520723,104050.74116426033,5244.884693683035,-16.20947222,23.34988889,Borehole/Tubewell,Hand Pump,Well,Hand Pump,Western,False,0,Senanga,2018,5GM5Q8RX+6X6
2.0,8.0,170387.4512756763,16555.78924000479,4476.546292597438,107251.61940592938,5797.706831557459,-16.23197222,23.38216667,Borehole/Tubewell,Hand Pump,Well,Hand Pump,Western,False,0,Senanga,2014,5GM5Q99J+6V7
4.0,8.0,174902.96807160976,12108.889994369943,3818.920192533737,102277.18518399964,8767.69453142496,-16.1873,23.37534,Borehole/Tubewell,Hand Pump,Well,Hand Pump,Western,False,0,Senanga,2015,5GM5R97G+34P
4.0,12.0,172987.21942638536,15449.011862824736,9160.490565011183,102623.22851170432,13059.555038406344,-16.177286,23.424807,Borehole/Tubewell,Hand Pump,Well,Hand Pump,Western,False,0,Senanga,2015,5GM5RCFF+3WM
4.0,128.0,172829.84574376012,16838.947889283372,11470.148906113584,102195.90344505844,15454.720442715146,-16.16695,23.44518,Borehole/Tubewell,Hand Pump,Well,Hand Pump,Western,False,0,Senanga,2015,5GM5RCMW+63F
4.0,132.0,172817.29090136127,16964.97971592324,11662.653221647635,102164.52579111786,15652.267934309672,-16.16611,23.44686,Borehole/Tubewell,Hand Pump,Well,Hand Pump,Western,False,0,Senanga,2015,5GM5RCMW+HP5
4.0,173.0,172746.04776519732,17235.231638546917,12027.461576349093,102157.16812358644,16000.873763079466,-16.16498,23.45012,Borehole/Tubewell,Hand Pump,Well,Hand Pump,Western,False,0,Senanga,2015,5GM5RFP2+225
